date,firm,n,sd,source,FIPDLFI,IdV,LN,UdC,LADESTRA,PD,M5S,FdI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI
10/2/06,EKMA,NA,NA,NA,28,3.5,6,4,,,,,,,,,,,,
10/13/06,EUROMEDIA,NA,NA,NA,29,2.3,4.7,5.2,,,,,,,,,,,,
11/14/06,EKMA,NA,NA,NA,28,3.5,6,6,,,,,,,,,,,,
11/20/06,UNICAB,NA,NA,NA,28.1,1.7,5,7.6,,,,,,,,,,,,
12/5/06,EKMA,NA,NA,NA,30,3,5,6,,,,,,,,,,,,
12/20/06,EUROMEDIA,NA,NA,NA,31.5,2.4,4.8,3.9,,,,,,,,,,,,
1/8/07,EUROMEDIA,NA,NA,NA,32.6,2.3,5.3,4.1,,,,,,,,,,,,
1/9/07,EKMA,NA,NA,NA,30,3.5,5,5.5,,,,,,,,,,,,
2/2/07,EKMA,NA,NA,NA,28,4,5,6,,,,,,,,,,,,
2/21/07,UNICAB,NA,NA,NA,29.3,2.8,4.3,7.2,,,,,,,,,,,,
3/2/07,EUROMEDIA,NA,NA,NA,33,2.4,5.1,4.8,,,,,,,,,,,,
3/2/07,EKMA,NA,NA,NA,28.5,4,5,7,,,,,,,,,,,,
3/29/07,IPR,NA,NA,NA,27,3,4.5,5.5,,,,,,,,,,,,
4/2/07,EKMA,NA,NA,NA,29.5,4.7,5,7.5,,,,,,,,,,,,
4/3/07,LORIEN,NA,NA,NA,28,2,5,6.4,,,,,,,,,,,,
4/9/07,SWG,1500,NA,NA,26,4,5.5,5.5,,,,,,,,,,,,
6/9/07,EUROMEDIA,NA,NA,NA,32,2.4,5.5,5.4,,,,,,,,,,,,
6/13/07,EKMA,NA,NA,NA,30,4.3,5.9,5.5,,,,,,,,,,,,
6/27/07,EURISKO,NA,NA,NA,26.3,2.7,5.7,6.6,,,,,,,,,,,,
7/5/07,EKMA,NA,NA,NA,30,3.9,6,5,,,,,,,,,,,,
9/10/07,EKMA,NA,NA,NA,30,4.2,5.7,3.5,,,,,,,,,,,,
9/13/07,EURISKO,NA,NA,NA,27,3.1,5,6.8,,,,,,,,,,,,
10/12/07,EKMA,NA,NA,NA,29,3.5,5,3.5,,,,,,,,,,,,
10/18/07,EURISKO,NA,NA,NA,26.8,3.2,4.5,6.4,,,,,,,,,,,,
10/21/07,SWG,NA,NA,NA,26.5,4,7,4.5,,,,,,,,,,,,
11/12/07,EKMA,NA,NA,NA,28.5,3,5,4.2,,,,,,,,,,,,
11/20/07,ISPO,NA,NA,NA,30,2.5,4.5,4.5,,,,,,,,,,,,
2/11/08,IPR,NA,NA,NA,38.25,3.75,6,8,2.5,29.5,,,,,,,,,,
2/12/08,ISPO,NA,NA,NA,40,4.5,5,6,,33,,,,,,,,,,
2/12/08,IPSOS,NA,NA,NA,40.2,3.8,5.9,6.6,1.6,34.8,,,,,,,,,,
2/13/08,SWG,1500,NA,NA,36.5,4.5,6.5,6,2.5,30.5,,,,,,,,,,
2/18/08,SWG,1500,NA,NA,37,4.25,5.5,7.5,1.75,32,,,,,,,,,,
2/18/08,IPSOS,NA,NA,NA,40,3.8,5.6,5.8,1.2,34,,,,,,,,,,
2/19/08,IPR,NA,NA,NA,38,3.5,6.5,7.5,3,31,,,,,,,,,,
2/19/08,Demoskopea,NA,NA,NA,40,2,4.5,7,,32.5,,,,,,,,,,
2/20/08,EURISKO,NA,NA,NA,40.5,3.4,4.5,7,1,35.6,,,,,,,,,,
2/22/08,EUROMEDIA,NA,NA,NA,40.6,3.5,5.6,5,1.2,32.9,,,,,,,,,,
2/24/08,Digis,NA,NA,NA,38.2,3.9,4.8,7.2,1.5,34.4,,,,,,,,,,
2/25/08,IPSOS,NA,NA,NA,39.4,4,5.5,6,1,34.5,,,,,,,,,,
2/26/08,Demoskopea,NA,NA,NA,39.5,2,4,7,2,34.5,,,,,,,,,,
2/27/08,Dinamiche,NA,NA,NA,38.5,3.5,5.5,5.5,2,33,,,,,,,,,,
2/27/08,Demopolis,NA,NA,NA,39,3.5,5,6,2,33.5,,,,,,,,,,
2/29/08,IPR,NA,NA,NA,38,4,4.5,7,2.5,32,,,,,,,,,,
3/1/08,EUROMEDIA,NA,NA,NA,40,3,5,5.7,2.2,32.4,,,,,,,,,,
3/1/08,Digis,NA,NA,NA,40.3,3.4,4.6,6.9,1.3,34.5,,,,,,,,,,
3/2/08,ISPO,NA,NA,NA,38.5,3,5.5,6.5,2.5,34.5,,,,,,,,,,
3/3/08,IPSOS,NA,NA,NA,38.9,4.1,5.3,6.3,1.8,33.7,,,,,,,,,,
3/4/08,Demoskopea,NA,NA,NA,40.5,2.5,4,7.5,2,33.5,,,,,,,,,,
3/6/08,IPR,NA,NA,NA,38.5,4,4.5,7,2,32.5,,,,,,,,,,
3/9/08,Digis,NA,NA,NA,41.1,3.3,4.6,7,1.5,33.4,,,,,,,,,,
3/10/08,ISPO,NA,NA,NA,39,3,4.5,5.5,3.5,33.5,,,,,,,,,,
3/10/08,IPSOS,NA,NA,NA,40,4.5,5.1,6,2.1,33.3,,,,,,,,,,
3/10/08,DEMOS,NA,NA,NA,39.3,4.5,5.5,6,1.9,34,,,,,,,,,,
3/11/08,Demoskopea,NA,NA,NA,40.5,2.5,4,7,2.5,33.5,,,,,,,,,,
3/12/08,Demopolis,NA,NA,NA,38,3.5,5,6.5,2.5,33.5,,,,,,,,,,
3/15/08,IPR,NA,NA,NA,38.5,3.5,4.5,6.5,2.5,33,,,,,,,,,,
3/16/08,IPSOS,NA,NA,NA,38.5,3,5.5,6.5,2.5,35,,,,,,,,,,
3/16/08,Digis,NA,NA,NA,40.4,3.7,4.1,6.9,1.6,34.5,,,,,,,,,,
3/17/08,Dinamiche,NA,NA,NA,37.9,3.7,5.6,6.1,2,33.2,,,,,,,,,,
3/18/08,Demoskopea,NA,NA,NA,40.5,2.5,5,6,2.5,34.5,,,,,,,,,,
3/21/08,ISPO,NA,NA,NA,39.5,3.5,4.5,5.5,1.5,35,,,,,,,,,,
3/21/08,Digis,NA,NA,NA,41,3.4,4.1,6,1.7,35,,,,,,,,,,
3/23/08,IPSOS,NA,NA,NA,39.6,4.4,4.9,6,2.1,33.9,,,,,,,,,,
3/25/08,Demoskopea,NA,NA,NA,40,2.5,5.5,6,2,35,,,,,,,,,,
